explicit,album_id,album_name,artists_0_id,artists_0_name,track_number,duration_ms,id,name,popularity,year
False,6SIib5yrq0saKy08p2IPrB,Bad Self Portraits,3nuc29fYGlQbIrwh4yrNWd,Lake Street Dive,3,215879,0NSEZeWHkYCknk1nAVO1Fh,Better Than,0,2014
False,4g4iUbyDPTz3wCy25Tvivk,Arrow,2wwMTLM2da1sa2JcJslf8W,Heartless Bastards,4,308066,17ZnveSDBpG9QtL7zLJNPy,Only For You,0,2012
False,0LyGgFrZFXpRKpgj664Xu7,Thrill of the Arts,7pXu47GoqSYRajmBCjxdD6,Vulfpeck,2,181259,1DrlLvlYd1FIjNavRm6NdX,Back Pocket,61,2015
False,6TWqxofcKQaZ9gHI49G36P,Sound & Color,16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,3,257920,51ggEZWbFP5dMdWjGCDYTk,Dunes,0,2015
False,5UXWs03dk4KTJioTAqQKWv,Bahamas is Afie,4C50EbCS11M0VbGyH3OfLt,Bahamas,4,234973,40WXqoyOLAAugGmJWZU1FY,All The Time,18,2014
False,1dNRrt0QTrQrZnujD7KS4k,Future People,16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,1,201612,6p5LBZkLRIeVhbLh0w7EuP,Future People,0,2015
True,6TWqxofcKQaZ9gHI49G36P,Sound & Color,16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,2,232546,2lrRWbiHPdBicufAqrGN3r,Don't Wanna Fight,0,2015
False,6TWqxofcKQaZ9gHI49G36P,Sound & Color,16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,5,243466,7Gz1adaLeIHNOqJPvfnncD,Gimme All Your Love,0,2015
False,4svLfrPPk2npPVuI4kXPYg,Coming Home,3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,10,238560,0NeJjNlprGfZpeX2LQuN6c,River,1,2015
False,5JPUCM3RuyqZpCxWnJ71Cs,Need Your Light,6FIrstf3kHEg3zBOyLpvxD,Ra Ra Riot,1,280333,1spp1NXsz4rHcVaJhhndKa,Water,0,2016
False,6FIFqclBriPCb0SjWDaHIk,Veckatimest,2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,2,243160,0iTpQYzJnYgh7kIxyq8A2O,Two Weeks,4,2009
False,4ZxgR8Pmmvdjy7J8fmTMLp,Love Like This,2KjAo6wVc9d2WcxdxSArpV,RY X,1,250701,2FCckttvtgRkQHkeWHer6J,Love Like This,0,2014
False,6FUV3GC6UCMjdSF8Cz5HOP,Dearly Departed (Live at Pandora),1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,1,205388,1Eb2xUDo5T3q6gNTpbZVDB,Dearly Departed (Live at Pandora),0,2014
False,6TWqxofcKQaZ9gHI49G36P,Sound & Color,16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,12,233320,7GdSvJ1lnSYelQzd0Gv4Fs,Over My Head,0,2015
False,1cumevQhD4JVTmpinALC1j,Baby I Don't Know Oh Oh,7pXu47GoqSYRajmBCjxdD6,Vulfpeck,1,208954,289kw0163wm0YVcPx6U6AN,Baby I Don't Know Oh Oh,0,2017
False,34GiVp9W9v6GjsWLkBp0HS,The Dip,2qFOYqFxPaIwEnffVhJhEn,The Dip,7,249640,6AJDPYNHaDDA7UrFL08L11,Working Man,47,2015
False,6omkjFYm9jO3Q4sWBzhvVP,What I'm Doing Here/Wedding Band,3nuc29fYGlQbIrwh4yrNWd,Lake Street Dive,1,206975,5YmT0vKudNun8rPz36ADmU,What I'm Doing Here,0,2014
False,0r0uA6OMU5fTbWetcMf867,Fear Fun,2kGBy2WHvF0VdZyqiVCkDT,Father John Misty,2,234160,0qHrE21zGV4DThyfx0HdFu,Nancy From Now On,0,2012
False,6gtu2oXhmDQN8TAsWimZbj,Tomorrow,1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,1,240586,47KDDZgFiX1w6RFOuLXsSn,Tomorrow,6,2016
False,1Sq6MrxVCTezf62YzsbzED,And The War Came,1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,6,319840,5lJ1NMNz6ymwdaL9aejm8e,Family and Genus,2,2014
False,3JsZjfjVa95IMuZ50eX7BU,Shakey Graves on Audiotree Live (2013),1fZpYWNWdL5Z3wrDtISFUH,Shakey Graves,2,294321,5xAOwbTh8IThvBzM3Dhbz2,Built To Roam (Audiotree Live Version),0,2013
False,7deW5FlwTnjalzBDAftgwf,Fate,4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog,10,221626,7GgCmEc2kSCLa3qRNBO6h8,The Beach,0,2008
False,3QOXA8bqsml8CslUdgHXrW,Painted Ruins,2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,5,305866,2ZRvcRcKdwQBjTAqj2XNJN,Losing All Sense,35,2017
False,5UXWs03dk4KTJioTAqQKWv,Bahamas is Afie,4C50EbCS11M0VbGyH3OfLt,Bahamas,12,375973,0MOMLuhHqNgJ7uAceOPmfj,All I've Ever Known,0,2014
False,0LyGgFrZFXpRKpgj664Xu7,Thrill of the Arts,7pXu47GoqSYRajmBCjxdD6,Vulfpeck,5,212549,1CyAxM93XN2atUBykXFWPX,Game Winner,39,2015
False,16XswZ18xhMs8qUTN51mRl,"Shame, Shame (Deluxe Edition)",4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog,5,234800,0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,76,2010
False,7azn6b0REXVeI7x6I8ebQi,Delta Spirit,1xVWSPiw5B0OduIC0DSu3V,Delta Spirit,3,219520,4Y3gLYlV5rD3fhirhWKtei,California,42,2012
False,1XBBNeT50E40fWKY5SOvb5,I Want to See Pulaski at Night,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,4,289093,3v6NuKeDbFbaq1lNjw3XtR,Pulaski at Night,17,2013
False,04VtAp2SJPVsutli1F3KjY,The Switch,6jlWj6y00bMQt8XoKuCjyZ,Emily King,7,231448,1IlBPaXuM7Fl6tiH9CPQlQ,Distance,46,2015
False,4PrBMzWzzoMOwm55Bfo3dt,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,2,196560,5HLes17mwCwKt81mi0Tk35,"Archie, Marry Me",0,2014
False,4PrBMzWzzoMOwm55Bfo3dt,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,1,207640,22cDldSuj9rgIMXwn4Ofn0,Adult Diversion,0,2014
False,0OSYZ7EMRs14RPvwowd13F,Waiting on a Song,6YWdHD3R863Apw1hkx3BwC,Dan Auerbach,9,203560,2Zv95uoSB1H4puVfAYbovF,Undertow,39,2017
False,6h2wQk5NSOvLdeNSDZnGR4,The Psychedelic Swamp,4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog,4,228055,70WY0OFaz7293OjqeUPJnL,Bring My Baby Back,31,2016
False,2qiPY1CqHGexT4yWrQ5uX0,Sunlit Youth,75dQReiBOHN37fQgWQrIAJ,Local Natives,7,237693,53I7CviVHhNYEKth717RLG,Coins,44,2016
False,4fr5W0qWDRm8weM6m2B9qh,Velvet Ears: David Oâ€™dowda,0kgnPJElpccT4mc6IMZ653,David O'Dowda,1,137333,6vkSY2DjEXmwwn8dC0jf40,Keep Your Head,39,2016
False,7f5IY1tuyC4yEardrzrxwe,Wincing The Night Away,4LG4Bs1Gadht7TCrMytQUO,The Shins,4,287533,4l8knlwTeoTmSnGi45kqZ8,Phantom Limb,0,2007
False,2H3TKiLmrT0huFqHUgMky4,Scary Pockets,1e16kiJQtCTveTl7TQnkFN,Scary Pockets,7,187500,1mUS652Xd2eonGTgcsImVE,What a Girl Wants,0,2017
False,4zU9MpJxu9KUVdJIire6GD,Kitsch Funk,1e16kiJQtCTveTl7TQnkFN,Scary Pockets,3,211000,6ORopcXNs9MKzDRixexcgb,Love Yourself,0,2018
False,2CBfjDdstyhyfOaNqLPOwg,Sun Giant,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,4,275306,18ycL9Q5zLDeY9M2Lr3Ozw,Mykonos,13,2008
False,6TqAnRWjGY3ztfajmS0HSG,Are You Serious,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,7,218413,2OYmCSVGmN5vXuG5dX5LKY,Are You Serious,47,2016
False,6iKqPv9C5oU29LR82N8lJf,Strangers to Ourselves,1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,2,187720,5jJ69cMDMC0aeWPjZo6VP2,Lampshades on Fire,52,2015
False,5bnF5MxlRc5ebdlpR4NKHp,Can't Buy Me Love,1e16kiJQtCTveTl7TQnkFN,Scary Pockets,1,129000,2bO7zhxYKNriiymnRM7mtS,Can't Buy Me Love,0,2018
False,5M8xQaQZuW2LZGVXZ3mlKN,MY WOMAN,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,2,221400,4ZgRu1DdjHZXrqwKA1YlSr,Never Be Mine,0,2016
False,6PbSc4h6AzFR6cQKZvtrGn,Phases,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,1,218320,7baqevYFvsevqje1Pdmjcy,Fly On Your Wall,0,2017
False,6PbSc4h6AzFR6cQKZvtrGn,Phases,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,3,155200,7qoeVNQHDELc33RNrdAC3W,Only With You,0,2017
False,25Z3GFmKx6ntosMpCSngnI,Hot Thoughts,0K1q0nXQ8is36PzOKAMbNe,Spoon,3,260079,0EH6BeGSEWtbETiOAYr3sN,Do I Have to Talk You Into It,0,2017
False,5P0LN9xrnLY1By7mlkKtkx,Melted,58XGUNsRNu3cVOIOYk5chx,Ty Segall,3,132760,5vEE1d5gkv3pgfZyppLeX8,Girlfriend,34,2010
False,7otZukb5nxzaVjoWZlhGu8,Mythological Beauty,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2,172484,6cEplYfowfXU3SJRnkrwBe,Breathe in My Lungs,0,2017
False,60WtCpA6zPqFMhDS7MtDYP,New Birth in New England,57kIMCLPgkzQlXjblX7XXP,Phosphorescent,1,299685,183nPEAaTN4E1hV7De1xsV,New Birth in New England,0,2018
False,1v4UMJTzhtv1uqvunELhR9,Joe (Live From Austin City Limits),16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,1,211374,3a4FZmznEyHMYyxiw45k37,Joe - Live From Austin City Limits,0,2015
False,4XlvkGpGZ0wqf13YkHyrXd,Lost At Last Vol. 1,099toTcKJoywTosZr2hHjy,Langhorne Slim,11,181626,61kYRloObrNZitLUDFHh9p,Zombie,0,2017
False,2he3CA9Gg1XLCsBiMAaXiz,Muchacho,57kIMCLPgkzQlXjblX7XXP,Phosphorescent,3,224906,55C8Zut2Ug8wPNrU4OJYPd,Ride On / Right On,0,2013
False,4ofyfCTKDjg36h4gTOz8k0,The Moon and the Melodies,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,1,189040,0EtYctBNJJ4IMNR7skKfm3,"Sea, Swallow Me",0,1986
False,6XVw1ysE3HyYF9T9axP33Y,Don't Take The Money,2eam0iDomRHGBypaDQLwWI,Bleachers,1,215539,0d3BJRrklQ6sTfbmrojuZI,Don't Take The Money,36,2017
False,6ceEcvc9bKjAZ2IxVNEbZ2,Marie Antoinette (Original Motion Picture Soundtrack),0epOFNiUfyON9EYx7Tpr6V,The Strokes,3,168750,5ZrT889Mp3oaUyI2jPM9dc,What Ever Happened,0,2006
False,3avy9ZvrDRdDQKRcf1kJ6V,Transangelic Exodus,1uR7zoLrSRI8bSL43OZ0GY,Ezra Furman,9,219000,5141H4ftZMaTJIuMOhJ5J3,Love You So Bad,0,2018
False,6H5Gf3PNATQ6ufJQhM263o,Nothing Lasts Forever (And It's Fine),6GpcBKNmZDIrRzYkPJu7Wd,flora cash,2,218883,1tweNeMlwxfeoOXklVibnf,You're Somebody Else,0,2017
False,7f5IY1tuyC4yEardrzrxwe,Wincing The Night Away,4LG4Bs1Gadht7TCrMytQUO,The Shins,7,221840,5nfe5aPK3Qh5zC4oo5KXbO,Turn On Me,0,2007
False,1WqsQoAZ6KIYS0mZAAezWa,Sunflower / Big Blue,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,1,137600,2nBkgxlht8knPvUQN5Tmdk,Sunflower (feat. Steve Lacy),0,2019
False,16i5KnBjWgUtwOO7sVMnJB,Puberty 2,2uYWxilOVlUdk4oV9DvwqK,Mitski,5,212183,172rW45GEnGoJUuWfm1drt,Your Best American Girl,0,2016
False,4vucVTj5GjNV0MllVjsxo5,Spotify Singles,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,2,224647,15yWH0t80xio9hCjOZpalj,Body's In Trouble - Recorded at Spotify Studios NYC,0,2017
True,3O9h4n6a5yGA4OCcwNx2se,The Rabbit Hole,6P5NO5hzJbuOqSdyPB7SJM,Ashe,4,226360,2f47eePMUJvRVVqWdA4JC2,Real Love,0,2018
False,2hOYLjoRQFXcdviMiwtgxe,Capacity,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,10,330106,6dtB54Z7eICDUOPq3QwXuo,Mary,0,2017
False,4onPyHor2yOlVxCsIaGyHH,Masterpiece,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,2,230586,2WTxIQ0ufU7AxT43ZKpllY,Masterpiece,0,2016
False,358elHWlgNqitp1lenb5Jn,Burn Your Fire For No Witness (Deluxe Edition),6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,11,247813,0dV5sMWcqcxTCkLfXv4yt8,Windows,0,2014
False,0RedX0LZkGUFoRwFntAaI0,All Mirrors,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,1,378826,13rEyddPoVpxXWWv2aTjqo,Lark,0,2019
False,2CQY5a9aqLxICQjFfsMIOf,Half Way Home,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,10,149239,7I6hkWQ87DnCDssXxM23OS,Free,0,2012
False,17bL9TKkDZEOwBRZblbK69,Yoko Ono,5cVeSOiS002MF1uiUFOPV5,Mob Rich,1,202640,28GTdx9aoBF7b5651zVwUE,Yoko Ono,0,2018
False,1D3YttJsWvUUSvOVRbic0o,Fuzz,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,3,234880,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,41,2013
False,28FxHb9OJRzAch4DwUUsaT,Too Bright,2ueoLVCXQ948OfhVvAy3Nn,Perfume Genius,2,230719,52WTLETEHs5jwCr7LCq0VW,Queen,0,2014
False,7pg8T6pajjHVZbiyB8bGxo,Two Hands,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,7,367093,7IzJ7EGpIpq2vW3ylVTtMh,Not,0,2019
False,03CZTX0lcoZGy71rOHnDxn,Lamp Lit Prose,5VF0YkVLeVD4ytyiyVSIiF,Dirty Projectors,2,227826,65tjr5cWJmsA8KHVvuC7b2,Break-Thru,30,2018
