Name,Age,Hometown,Occupation,Season,Elimination,AgeDiff
Anna Heinrich,26,"Goulburn, New South Wales",Lawyer,1,14,4.0
Rochelle Emmanuel-Smith,27,"Perth, Western Australia",Model,1,13,3.0
Ali Oetjen,27,"Adelaide, South Australia",Real Estate Agent,1,12,3.0
Danielle Sanby,24,Melbourne,Events Coordinator,1,11,6.0
Katherine Schmidhofer,33,Sydney,Child Psychologist,1,10,3.0
Natalie Sady,34,Melbourne,Model,1,9,4.0
Sarah Amey,22,"Gold Coast, Queensland",Florist,1,9,8.0
Penny Palman,35,Melbourne,Fitness Instructor,1,8,5.0
Emily See-Winder,30,Sydney,Brand Strategist,1,7,0.0
Belle,29,Melbourne,Finance Manager,1,6,1.0
Ashlee Crabbe,25,"Perth, Western Australia",PR Consultant,1,6,5.0
Alana Gray,29,Melbourne,Flight Attendant,1,6,1.0
Laura Clemesha,24,Sydney,Customer Relations,1,5,6.0
Stacey Lindall,28,Melbourne,Flight Attendant,1,5,2.0
Bianca Martin,31,Melbourne,Fitness Model,1,4,1.0
Judy Kuo,28,Sydney,Doctor,1,3,2.0
Sherri Mathieson,29,"Gold Coast, Queensland",Make-Up Artist,1,3,1.0
Amy,24,Melbourne,Accountant,1,2,6.0
Elizabeth McMahon,34,"Gold Coast, Queensland",Fashion Stylist,1,2,4.0
Emma Rose,25,"Brisbane, Queensland",Events Director,1,2,5.0
Debra,32,Melbourne,Cosmetic Clinic Director,1,1,2.0
Erin,24,"Brisbane, Queensland",Emergency Nurse,1,1,6.0
Jody Heidke,33,"Gold Coast, Queensland",Pre-School Teacher,1,1,3.0
Joelene Booth,23,Sydney,Hair Stylist,1,1,7.0
Nikki Quinlan,23,"Coolum Beach, Queensland",Professional Skateboarder,1,1,7.0
"Samantha ""Sam"" Frost",25,"Mornington Peninsula, Victoria",Financial Assistant,2,21,6.0
Lisa Hyde,27,"Noosa, Queensland",Fashion Designer,2,20,4.0
Louise Pillidge,26,"Thredbo, New South Wales",Event Manager,2,19,5.0
Jessica Jones,24,"Central Coast, New South Wales",Accounting Student,2,18,7.0
Zoe O'Brien,25,Melbourne,Pharmacist,2,16,6.0
Laurina Fleure,30,Melbourne,Entrepreneur,2,15,1.0
Chantal Hrynieweski,26,Melbourne,Interior Designer,2,14,5.0
Lauren Birdsall,27,Sydney,Dancer,2,13,4.0
Mary O'Neill,27,Sydney,Acting Student,2,12,4.0
Rachel Miley-Smith,27,Sydney,Medical Sales Representative,2,12,4.0
Amber Gelinas,26,"Calgary, Canada",Oil & Gas Consultant,2,11,5.0
Kara Bramham,24,Melbourne,Law Graduate,2,10,7.0
Anastasia,30,Sydney,Lawyer,2,9,1.0
Aley Greenblo,25,Sydney,Fashion Blogger,2,8,6.0
Tahnee Lee,24,Sydney,Social Media Coordinator,2,8,7.0
Alana Wilkie,26,"Perth, Western Australia",Legal Secretary,2,7,5.0
Anita Cusack,30,"Castlemaine, Victoria",Dog Groomer,2,6,1.0
Diana Dinu,28,"Brisbane, Queensland",I.T. Student,2,6,3.0
Katrina Burgoyne,26,"Newcastle, New South Wales",Musician,2,6,5.0
Lauren Smith,27,"Adelaide, South Australia",Flight Attendant,2,5,4.0
Shana Leggett,26,"Gold Coast, Queensland",Poker Dealer,2,4,5.0
Stacey-Louise,33,"Traralgon, Victoria",Fitness Trainer,2,4,2.0
Holly Pearce,23,Sydney,Professional Netballer,2,4,8.0
Amanda Hatcher,28,Sydney,Account Manager,2,3,3.0
Bridgette-Rose Taylor,24,"Brisbane, Queensland",Law Student,2,2,7.0
Tiarnar Tavita,31,"Newcastle, New South Wales",Model,2,2,0.0
Emma Foster,31,Melbourne,Interior Designer,2,1,0.0
Emma Levitt,28,"Perth, Western Australia",Make-Up Artist,2,1,3.0
Karla,31,Sydney,Nurse,2,1,0.0
Sam Aghan,25,"Perth, Western Australia",Administrative Assistant,2,1,6.0
Snezana Markoski,34,"Perth, Western Australia",Scientific Sales Rep,3,17,0.0
Lana Jeavons-Fellows,27,"Berowra, New South Wales",Communications Assistant,3,16,7.0
Sarah Mackay,25,"Mornington, Victoria",Event Manager,3,15,9.0
Heather Maltman,29,"Brisbane, Queensland",Filmmaker,3,14,5.0
Nina Rolleston,28,"Brisbane, Queensland",Wedding Planner,3,13,6.0
Rachel Moore,29,"Brisbane, Queensland",Food Blogger,3,12,5.0
Ebru Dallikavak,31,Melbourne,Portfolio Manager,3,10,3.0
Emily Simms,31,Melbourne,Advertising Executive,3,9,3.0
Bec Chin,28,"Central Coast, New South Wales",Dietitian,3,9,6.0
Rachel Jones,28,"Adelaide, South Australia",Charity Worker,3,8,6.0
Jasmin Brown,24,"Brisbane, Queensland",Marketing Graduate,3,7,10.0
Jacinda Gugliemino,33,Sydney,Personal Assistant,3,6,1.0
Sandra Rato,27,Melbourne,Primary P.E. Teacher,3,5,7.0
Laura Musgrove,28,Sydney,Veterinary Surgeon,3,4,6.0
Joni Hodson,31,Melbourne,Motivational Speaker,3,4,3.0
Madeleine Van Orsouw,26,Melbourne,Fertility Nurse,3,3,8.0
Krystal Steele,30,"Cannonvale, Queensland",Travel Agent,3,2,4.0
Tessa Moritz,33,Melbourne,Account Manager,3,2,1.0
Reshael Sirputh,28,"Brisbane, Queensland",Accounts Manager,3,2,6.0
Jessica Lea,24,"Gold Coast, Queensland",Hospitality Manager,3,1,10.0
Zilda Williams,31,"Gold Coast, Queensland",Model,3,1,3.0
"Alexandra ""Alex"" Nation",24,"Mornington Peninsula, Victoria",Venue Manager,4,17,7.0
Nikki Gogan,28,"Northam, Western Australia",Real Estate Agent,4,16,3.0
Olena Khamula,23,"Sydney, New South Wales",Makeup Artist,4,15,8.0
Rachael Gouvignon,31,"Perth, Western Australia",Support Worker,4,14,0.0
Faith Williams,26,"Brisbane, Queensland",Hairdresser,4,13,5.0
"Stephanie ""Steph"" Dixon",25,"Ballarat, Victoria",Model,4,12,6.0
"Kirralee ""Kiki"" Morris",28,"Sydney, New South Wales",Personal Assistant,4,11,3.0
Sarah Harding,26,"Brisbane, Queensland",Sales Representative,4,10,5.0
Noni Janur,25,"Gold Coast, Queensland",Swimwear Designer,4,9,6.0
Keira Maguire,29,"Sydney, New South Wales",Account Manager,4,8,2.0
Georgia Tripos,24,"Melbourne, Victoria",Artist,4,7,7.0
Megan Marx,27,"Geraldton, Western Australia",Health Promotions Officer,4,7,4.0
Sasha Zhuravlyova,31,"Melbourne, Victoria",Executive Assistant,4,6,0.0
Eliza St John,31,"Sydney, New South Wales",Event Coordinator,4,5,0.0
Marja Jacobsen,34,"Sydney, New South Wales",Yoga Instructor,4,4,3.0
Sophie Edwards,28,"Adelaide, South Australia",Customer Support Manager,4,4,3.0
Janey Birks,27,"Brisbane, Queensland",Children's Entertainer,4,3,4.0
Tiffany Scanlon,29,"Perth, Western Australia",Training Administrator,4,3,2.0
Tolyna Baan,32,"Melbourne, Victoria",Personal Trainer,4,3,1.0
Laura Williams,25,"Melbourne, Victoria",Project Manager,4,2,6.0
Mia MacKinnon,24,"Sydney, New South Wales",Former Athlete/Student,4,2,7.0
Aimee Psellos,31,"Melbourne, Victoria",Business Development Manager,4,1,0.0
Natalie Nazzari,27,"Kalgoorlie, Western Australia",Communications Officer,4,1,4.0
Vintaea Carlos,25,"Brisbane, Queensland",Massage Therapist,4,1,6.0
Laura Byrne,31,"Sydney, New South Wales",Jewellery Designer,5,17,2.0
Elise Stacy,30,"Perth, Western Australia",Marketing Executive,5,16,1.0
Tara Pavlovic,27,"Gold Coast, Queensland",Nanny,5,15,2.0
Florence Moerenhout,27,"Melbourne, Victoria",Brand Manager,5,14,2.0
Elora Murger,27,"Sydney, New South Wales",Fitness Trainer,5,13,2.0
Cobie Frost,30,"Brisbane, Queensland",Coal Plant Operator,5,13,1.0
Lisa Carlton,24,"Melbourne, Victoria",Model,5,12,5.0
Simone Ormesher,25,"Melbourne, Victoria",Office Administrator,5,11,4.0
Jennifer Hawke,28,"Sydney, New South Wales",Marketing Manager,5,10,1.0
Michelle Paxton,31,"Adelaide, South Australia",Police Officer,5,9,2.0
Stephanie Boulton,23,"Perth, Western Australia",Safety Administrator,5,8,6.0
Alix McDermott,24,"Austinmer, New South Wales",Body Painter,5,8,5.0
Sharlene Mik,26,"Melbourne, Victoria",Wedding Planner,5,8,3.0
Leah Costa,24,"Melbourne, Victoria",Architecture Student,5,7,5.0
Natalie Holmberg,26,"Adelaide, South Australia",Midwife,5,6,3.0
Sian Kelly,24,"Perth, Western Australia",Retail Assistant,5,5,5.0
Elizabeth Duncan,31,"Sydney, New South Wales",Property Executive,5,5,2.0
Belinda Rygier,34,"Brisbane, Queensland",Love Coach,5,4,5.0
Akoulina Ktoiants,29,"Gold Coast, Queensland",Gymnastics Coach,5,3,0.0
Laura-Ann Rullo,27,"Melbourne, Victoria",Criminal Lawyer,5,2,2.0
Stacey Simpson,26,"Townsville, Queensland",Gym Instructor,5,1,3.0
Monica Brown,26,"Melbourne, Victoria",Medical Receptionist,5,1,3.0
Brittany Hockley,30,"Port Macquarie, New South Wales",Radiographer,6,16,0.0
Sophie Tieman,25,"Moreton Bay, Queensland",Property Valuer,6,16,5.0
Brooke Blurton,23,"Carnarvon, Western Australia",Youth Worker,6,15,7.0
"Cassandra ""Cass"" Wood",23,"Sydney, New South Wales",Student,6,14,7.0
Dasha Gaivoronski,32,"Adelaide, South Australia",Personal Trainer,6,13,2.0
Emily Dibden,25,"Canberra, Australian Capital Territory",Dance Teacher,6,13,5.0
Shannon Baff,25,"Melbourne, Victoria",Car Care Consultant,6,12,5.0
Jamie-Lee Dayz,27,"Sydney, New South Wales",Venue Manager,6,11,3.0
Tenille Favios,25,"Brisbane, Queensland",Flight Attendant,6,10,5.0
Deanna Salvemini,28,"Adelaide, South Australia",Dental Nurse,6,9,2.0
Romy Poulier,30,"Brisbane, Queensland",Photo Shoot Director,6,8,0.0
Alisha Aitken-Radburn,25,"Canberra, Australian Capital Territory",Political Adviser,6,8,5.0
Brittney Weldon,25,"Gold Coast, Queensland",Housing Officer,6,8,5.0
Cat Henesey-Smith,24,"Brisbane, Queensland",Fashion Designer,6,8,6.0
Ashlea Harvey,30,"Gold Coast, Queensland",Property Consultant,6,7,0.0
Rhiannon Doherty,28,"Gold Coast, Queensland",Sales Representative,6,7,2.0
Vanessa Sunshine,27,"Melbourne, Victoria",Legal Secretary,6,6,3.0
Blair Thomas,27,"Gold Coast, Queensland",P.E. Teacher,6,5,3.0
Aleksandra Sekuloska,31,"Melbourne, Victoria",Yoga Teacher,6,4,1.0
Steph Crothers,23,"Melbourne, Victoria",Children's Entertainer,6,4,7.0
Cayla Tudehope,27,"Sunshine Coast, Queensland",Energy Healer,6,3,3.0
Christina Karklis,23,"Brisbane, Queensland",Retail Manager,6,3,7.0
Kayla Gray,25,"Mount Gambier, South Australia",Flight Attendant,6,3,5.0
Juliana Bahr-Thomson,29,"Sydney, New South Wales",Lifeguard,6,2,1.0
Renee Cuzens,30,"Melbourne, Victoria",Business Analyst,6,2,0.0
Autumn Jay,29,"Melbourne, Victoria",Digital Designer,6,1,1.0
Susie McDougall,30,"Perth, Western Australia",Account Manager,6,1,0.0
Urszula Mosijewski,34,"Melbourne, Victoria",Creative Director,6,1,4.0
Chelsie McLeod,28,"Melbourne, Victoria",Chemical Engineer,7,17,3.0
Abbie Chatfield,23,"Brisbane, Queensland",Property Analyst,7,16,8.0
Helena Sauzier,25,"Perth, Western Australia",Wellness Coach,7,15,6.0
Emma Roche,32,"Sydney, New South Wales",Fashion Brand Manager,7,14,1.0
Elly Miles,24,"Newcastle, New South Wales",Nurse,7,13,7.0
Kristen Czyszek,25,"Brisbane, Queensland",China Researcher,7,12,6.0
Sogand Mohtat,30,"Sydney, New South Wales",Civil Engineer,7,11,1.0
Mary Viturino,31,"Melbourne, Victoria",Cook,7,10,0.0
Nichole Wood,25,"Gold Coast, Queensland",Café Manager,7,10,6.0
Nikki Ferris,24,"Sydney, New South Wales",Student,7,9,7.0
Rachael Arahill,23,"Sydney, New South Wales",Personal Trainer,7,9,8.0
Cassandra Mamone,33,"Adelaide, South Australia",Jewellery Designer,7,8,2.0
Brianna Ferrante,24,"Perth, Western Australia",Clerical Officer,7,7,7.0
Monique Morley,26,"Sydney, New South Wales",Fashion Designer,7,6,5.0
Vakoo Kauapirura,23,"Sydney, New South Wales",Model,7,6,8.0
Julia Hyde,28,"Sydney, New South Wales",Children's Entertainer,7,5,3.0
Isabelle Davies,29,"Gold Coast, Queensland",Pilates Instructor,7,4,2.0
Jessica Brody,30,"Melbourne, Victoria",Makeup Artist,7,3,1.0
Jessie Fredriksen,30,"Perth, Western Australia",Executive PA,7,3,1.0
Renee Barrett,25,"Darwin, Northern Territory",Healthcare Coordinator,7,3,6.0
Danush Deravi,34,"Melbourne, Victoria",Accountant,7,2,3.0
Georgina Powell,32,"Brisbane, Queensland",Cosmetic Nurse,7,2,1.0
Hannah Chapman,25,"Melbourne, Victoria",Social Media Manager,7,2,6.0
Sam Royce,29,"Melbourne, Victoria",Public Servant,7,2,2.0
Tara Norman,25,"Geelong, Victoria",Nurse,7,2,6.0
Tash Dowell,34,"Sydney, New South Wales",Sports Teacher,7,2,3.0
Keely Spedding,27,"Brisbane, Queensland",Textiles Designer,7,1,4.0
Sophie Oddo,25,"Melbourne, Victoria",Copywriter,7,1,6.0
Irena Srbinovska,31,Melbourne,Nurse,8,15,1.0
Bella Varelis,25,Sydney,Marketing Consultant,8,14,5.0
Bec Cvilikas,25,"Sunshine Coast, Queensland",Senior Beauty Consultant,8,13,5.0
Izzy Sharman-Firth,29,"Brisbane, Queensland",HR Advisor,8,13,1.0
Kaitlyn Bunyan-Hoppe,26,"Gold Coast, Queensland",Personal Assistant,8,12,4.0
Juliette Herrera,34,"Sydney, New South Wales",Stylist,8,11,4.0
Maddy Carver,25,"Hobart, Tasmania",Teacher,8,11,5.0
Steph Harper,26,"Geelong, Victoria",Special Needs Teacher,8,11,4.0
Roxi Kenny,29,"Brisbane, Queensland",Mechanical Engineer,8,10,1.0
Nicole Campbell,26,"Sydney, New South Wales",Professional Dancer,8,9,4.0
Bel Colwell,25,"Walgett, New South Wales",Media Buyer,8,8,5.0
Areeba Emmanuel,25,"Sydney, New South Wales",Home Loan Officer,8,7,5.0
Charley Bond,25,"Brisbane, Queensland",P.E. Teacher,8,7,5.0
Gemma White,28,"Gold Coast, Queensland",Property Manager,8,7,2.0
Laura Calleri,24,"Perth, Western Australia",Marketing Coordinator,8,7,6.0
Marg Zogoulas,23,"Melbourne, Victoria",Car Sales Consultant,8,7,7.0
Kristina Abramoff,24,"Perth, Western Australia",PhD Scholar,8,6,6.0
Rosemary Sawtell,23,"Brisbane, Queensland",Retail Manager,8,6,7.0
Clare Lange,26,"Perth, Western Australia",Administration Assistant,8,5,4.0
Zoe-Clare McDonald,23,"Brisbane, Queensland",Sales Manager,8,5,7.0
Georgie Glass,32,"Hobart, Tasmania",Project Manager,8,3,2.0
Leilani Vakaahi,27,"Forster, New South Wales",Partnerships Manager,8,3,3.0
Marlaina McPhillips,31,"Melbourne, Victoria",Fundraising Coordinator,8,3,1.0
Nadine Kodsi,30,"Melbourne, Victoria",Entrepreneur,8,1,0.0
Paige Royal,31,"Melbourne, Victoria",Professional Model,8,1,1.0
Holly Kingston,27,"Sydney, New South Wales",Marketing Manager,9,17,4.0
Brooke Cleal,27,"Melbourne, Victoria",Occupational Therapist,9,16,4.0
"Jacinta ""Jay"" Lal",31,"Sydney, New South Wales",Nutritionist,9,15,0.0
Carlie Hodges,33,"Melbourne, Victoria",Corporate Lawyer,9,14,2.0
Lily Price,23,"Melbourne, Victoria",Crane Operator,9,13,8.0
"Ashlee ""Ash"" Lawson",34,"Brisbane, Queensland",Dance Teacher,9,13,3.0
Laura O'Loughlin,28,"Adelaide, South Australia",Speech Pathologist,9,12,3.0
Tahnee Leeson,27,"Melbourne, Victoria",Corporate Travel Manager,9,11,4.0
Stephanie Lynch,27,"Perth, Western Australia",Business Development Manager,9,10,4.0
Rebekah Modernel,27,"Sydney, New South Wales",Youth Support Worker,9,9,4.0
Sierah Swepstone,28,"Melbourne, Victoria",Technical Analyst,9,8,3.0
Stevie Grey,29,"Brisbane, Queensland",Hair Stylist,9,7,2.0
Tatum Hargraves,26,"Gold Coast, Queensland",Company Director,9,7,5.0
Ashleigh Freckleton,28,"Melbourne, Victoria",Speech Pathologist,9,6,3.0
Elena Wee,33,"Sydney, New South Wales",Personal Trainer,9,5,2.0
Hannah Norman,26,"Sydney, New South Wales",Nurse,9,4,5.0
Tamlyn Hoskins,25,"Sydney, New South Wales",Customer Service Officer,9,4,6.0
Chanel Tang,34,"Sydney, New South Wales",Flight Manager,9,3,3.0
Madison Allen,24,"Melbourne, Victoria",Marketing Co-Ordinator,9,3,7.0
Belinda Robinson,29,"Sunshine Coast, Queensland",Criminal Lawyer,9,2,2.0
Jacinta Boys,29,"Melbourne, Victoria",Executive Recruiter,9,2,2.0
Annabelle O'Regan,28,"Sydney, New South Wales",Medical Equipment Installer,9,1,3.0
Lauren Jenkins,29,"Adelaide, South Australia",Office Administrator,9,1,2.0
